k,stage,disk,a0,a1,b
4,21,1,-0.944685,0.327979,3.42962
4,21,2,-0.926164,-0.377122,3.10776
4,22,0,-0.999999,0.00103763,5.98434
4,22,1,-0.944685,0.327979,3.42962
4,22,2,-0.926164,-0.377122,3.10776
4,23,0,-0.999999,0.00103763,5.98434
4,23,1,-0.944685,0.327979,3.42962
4,23,2,-0.926164,-0.377122,3.10776
4,24,0,-0.999999,0.00103763,5.98434
4,24,1,-0.944685,0.327979,3.42962
4,24,2,-0.926164,-0.377122,3.10776
4,25,0,-0.999999,0.00103763,5.98434
4,25,1,-0.944685,0.327979,3.42962
4,25,2,-0.926164,-0.377122,3.10776
4,26,0,-0.999999,0.00103763,5.98434
4,26,1,-0.944685,0.327979,3.42962
4,26,2,-0.926164,-0.377122,3.10776
4,27,0,-0.999999,0.00103763,5.98434
4,27,1,-0.944685,0.327979,3.42962
4,27,2,-0.926164,-0.377122,3.10776
4,28,0,-0.999999,0.00103763,5.98434
4,28,1,-0.944685,0.327979,3.42962
4,28,2,-0.926164,-0.377122,3.10776
4,29,0,-0.999999,0.00103763,5.98434
4,29,1,-0.944685,0.327979,3.42962
4,29,2,-0.926164,-0.377122,3.10776
4,30,0,-0.999999,0.00103763,5.98434
4,30,1,-0.944685,0.327979,3.42962
4,30,2,-0.926164,-0.377122,3.10776
4,31,0,-0.999999,0.00103763,5.98434
4,31,1,-0.944685,0.327979,3.42962
4,31,2,-0.926164,-0.377122,3.10776
4,32,0,-0.999999,0.00103763,5.98434
4,32,1,-0.944685,0.327979,3.42962
4,32,2,-0.926164,-0.377122,3.10776
4,33,0,-0.999999,0.00103763,5.98434
4,33,1,-0.944685,0.327979,3.42962
4,33,2,-0.926164,-0.377122,3.10776
4,34,0,-0.999999,0.00103763,5.98434
4,34,1,-0.944685,0.327979,3.42962
4,34,2,-0.926164,-0.377122,3.10776
4,35,0,-0.999999,0.00103763,5.98434
4,35,1,-0.944685,0.327979,3.42962
4,35,2,-0.926164,-0.377122,3.10776
4,36,0,-0.999999,0.00103763,5.98434
4,36,1,-0.944685,0.327979,3.42962
4,36,2,-0.926164,-0.377122,3.10776
4,37,0,-0.999999,0.00103763,5.98434
4,37,1,-0.944685,0.327979,3.42962
4,37,2,-0.926164,-0.377122,3.10776
4,38,0,-0.999999,0.00103763,5.98434
4,38,1,-0.944685,0.327979,3.42962
4,38,2,-0.926164,-0.377122,3.10776
4,39,0,-0.999999,0.00103763,5.98434
4,39,1,-0.944685,0.327979,3.42962
4,39,2,-0.926164,-0.377122,3.10776
4,40,0,-0.999999,0.00103763,5.98434
4,40,1,-0.944685,0.327979,3.42962
4,40,2,-0.926164,-0.377122,3.10776
4,41,0,-0.999999,0.00103763,5.98434
4,41,1,-0.944685,0.327979,3.42962
4,41,2,-0.926164,-0.377122,3.10776
4,42,0,-0.999999,0.00103763,5.98434
4,42,1,-0.944685,0.327979,3.42962
4,42,2,-0.926164,-0.377122,3.10776
4,43,0,-0.999999,0.00103763,5.98434
4,43,1,-0.944685,0.327979,3.42962
