replan_step,i,x1,x2,x3,x4
40,36,-10.8517,-0.000264599,-0.314623,-6.42356e-05
40,37,-11.1664,-0.000377556,-0.314861,-0.000161677
40,38,-11.4811,-0.000425649,-0.314519,6.54893e-05
40,39,-11.7956,-0.000309728,-0.314492,0.000166354
40,40,-12.1101,-0.00015031,-0.314574,0.000152483
40,41,-12.4247,-2.76202e-05,-0.314592,9.28965e-05
40,42,-12.7393,4.68513e-05,-0.314566,5.60465e-05
40,43,-13.0538,6.785e-05,-0.314553,-1.4049e-05
40,44,-13.3684,4.40757e-05,-0.314539,-3.34998e-05
45,0,-13.6563,12.6087,1.24789,-2.37627
45,1,-12.8225,10.6632,0.419739,-1.51481
45,2,-13.9028,10.6484,-2.58026,1.48519
45,3,-15.3794,12.0631,-0.372906,1.34418
45,4,-14.6862,12.8146,1.75926,0.158854
45,5,-12.7018,12.1407,2.20954,-1.50662
45,6,-10.2895,10.0625,2.61501,-2.64977
45,7,-7.38248,7.2757,3.19902,-2.92388
45,8,-4.416,4.60895,2.73394,-2.40963
45,9,-1.94851,2.49748,2.20103,-1.81331
45,10,-0.097679,1.00365,1.50063,-1.17435
45,11,1.11128,0.0921442,0.917282,-0.648661
45,12,1.80705,-0.364544,0.474261,-0.264715
45,13,2.13348,-0.504027,0.178597,-0.0142496
45,14,2.22314,-0.443619,0.000727475,0.135065
45,15,2.17893,-0.271941,-0.0891398,0.208291
45,16,2.07868,-0.0577343,-0.111365,0.220123
45,17,1.97778,0.149333,-0.0904418,0.19401
45,18,1.91382,0.315562,-0.0374668,0.138448
45,19,1.90498,0.43437,0.0197924,0.0991685
45,20,1.94571,0.514364,0.0616534,0.0608196
45,21,2.02237,0.560749,0.0916734,0.0319501
45,22,2.12243,0.586124,0.108438,0.0187991
45,23,2.23543,0.602447,0.117575,0.0138472
45,24,2.35555,0.618814,0.122661,0.0188879
45,25,2.47582,0.639757,0.117887,0.0229965
45,26,2.58933,0.661861,0.109115,0.0212116
45,27,2.69818,0.685309,0.108592,0.0256849
45,28,2.80631,0.712443,0.107673,0.028583
45,29,2.91326,0.741147,0.106232,0.0288254
45,30,3.01982,0.769156,0.10689,0.0271932
45,31,3.12667,0.795905,0.106794,0.0263049
45,32,3.23308,0.82225,0.106041,0.0263851
45,33,3.33913,0.848813,0.106045,0.0267405
45,34,3.4451,0.875737,0.105895,0.0271078
45,35,3.55101,0.902958,0.105934,0.0273326
45,36,3.65692,0.930281,0.105888,0.0273139
45,37,3.76276,0.95748,0.105797,0.0270845
45,38,3.86858,0.984486,0.105832,0.0269269
45,39,3.97445,1.01137,0.105912,0.0268409
45,40,4.08037,1.03823,0.105931,0.0268867
45,41,4.1863,1.06513,0.105931,0.0269156
45,42,4.29226,1.09209,0.105978,0.0269854
45,43,4.39824,1.11907,0.105984,0.0269853
45,44,4.50422,1.14605,0.105985,0.026972
50,0,-12.7018,12.1407,2.20955,-1.50662
50,1,-11.3207,10.9111,0.552747,-0.952568
50,2,-12.2679,11.4586,-2.44725,2.04743
50,3,-13.8221,12.8936,-0.661038,0.822663
50,4,-13.7519,12.7681,0.801349,-1.07375
50,5,-12.2133,11.4439,2.27579,-1.57454
50,6,-9.9401,9.43542,2.27067,-2.4425
50,7,-7.42702,6.84635,2.75548,-2.73564
50,8,-4.80923,4.3101,2.48011,-2.33686
50,9,-2.51308,2.21661,2.11218,-1.85013
50,10,-0.69537,0.673761,1.52325,-1.23556
50,11,0.57599,-0.318604,1.01947,-0.749168
50,12,1.32901,-0.823127,0.486571,-0.259878
50,13,1.62884,-0.920501,0.113085,0.0651308
50,14,1.63958,-0.780351,-0.0916083,0.215168
50,15,1.50711,-0.547021,-0.173339,0.251492
50,16,1.33293,-0.309569,-0.175015,0.223411
50,17,1.17701,-0.113516,-0.136828,0.168695
50,18,1.06868,0.0226004,-0.0798299,0.103538
50,19,1.02462,0.0920387,-0.0082948,0.0353382
50,20,1.03976,0.116796,0.0385796,0.0141766
50,21,1.08524,0.128224,0.0523795,0.00867848
50,22,1.13842,0.137557,0.0539937,0.00998727
50,23,1.19645,0.144693,0.062056,0.00428667
50,24,1.25825,0.147847,0.0615381,0.00202011
50,25,1.3196,0.148736,0.0611709,-0.00024098
50,26,1.38043,0.146668,0.0604788,-0.0038967
